"Hospital","Department","Country","City","Title","Lead_Collaborator_Forename","Lead_Collaborator_Surname"
"Norfolk and Norwich University Hospital","Urology","United Kingdom","Norwich","Dr","Melissa","Gabriel"
"Izmir University of Health Sciences Tepecik Training and Research Hospital","Urology","Turkey","Izmir","Dr","Volkan","Ulker"
"Sanatorio Juncal","Urology","Argentina","Temperley","Dr","Carlos","Andrade"
"Molinette Hospital, Turin School of Medicine","Department of Surgical Sciences, Division of Urology","Italy","Turin","Dr","Francesco","Soria"
"Trakya University, Health Center for Medical Research and Practice","Department of Urology","Turkey","Edirne","Dr","Ersan","Arda"
"Stepping Hill Hospital","Urology department","United Kingdom","Manchester","Dr","Sophie","Vaggers"
"Policlinico Umberto I Sapienza University of Rome","Department of Surgical Sciences Pietro Valdoni","Italy","Rome","Mr","Pierfrancesco","Lapolla"
"Southend University Hospital","urology","United Kingdom","Southend","Mr","Daben","Dawam"
"Sanatorio Allende","Servicio de Urologia","Argentina","Cordoba","Dr","Diego","Belisle"
"Policlinico Hospital 'G. Rodolico'","Urology Section","Italy","Catania","Prof","Giorgio Ivan","Russo"
"Royal Preston Hospital","Urology Department","United Kingdom","Preston","Miss","Areej","Paracha"
"Morriston Hospital","Urology","United Kingdom","Swansea","Mr","George","Hill"
"Massachusetts General Hospital","Department of Urology","United States of America","Boston","Dr","Filipe","Carvalho"
"Gosford Hospital","Surgery","Australia","Gosford","Prof","Amanda","Dawson"
"Royal Bournemouth Hospital, University Hospitals Dorset NHS Foundation Trust","Urology","United Kingdom","Bournemouth","Dr","Rotimi","David"
"Royal London hospital","Urology","United Kingdom","London","Mr","Luke","Foster"
"SIU School of Medicine","Urology","United States of America","Springfield","Dr","Kara","Babaian"
"Box Hill Hospital","Urology Department","Australia","Melbourne","Prof","Shomik","Sengupta"
"CEMIC","UROLOGY","Argentina","Ciudad de Buenos Aires","Dr","Nicolas","Richards"
"Milton Keynes University hospital","Urology department","United Kingdom","Milton Keynes","Mr","Imoh","Ibiok"
"Kent and Canterbury hospital","Urology department","United Kingdom","Canterbury","Mr","Issam","Ahmed"
"Oriental Melaka Straits Medical Centre","Urology","Malaysia","Melaka","Prof","Christopher","Ho"
"American University of Beirut Medical Center","Department of Surgery, Division of Urology","Lebanon","Beirut","Dr","Nassib","Abou Heidar"
"Leicester General Hospital","Urology","United Kingdom","Leicester","Mr","Mithun","Kailavasan"
"UMC Utrecht","Department of Urology, Cancer Center","Nicaragua","Utrecht","Dr","Peter-Paul","Willemse"
"Manchester University NHS Foundation Trust - Wythenshawe Hospital","Dept of Urology","United Kingdom","Manchester","Mr","Thiru","Gunendran"
"Canisius Wilhelmina Hospital","Urology","Netherlands","Nijmegen","Dr","Diederick","Duijvesz"
"St James's Hospital","Urology","Ireland","Dublin","Mr","Shane","Considine"
"Addenbrookes Hospital","Urology","United Kingdom","Cambridge","Dr","Islam","Abu-Nayla"
"General Hospital of Kalamata","Department of Urology","Greece","Kalamata","Dr","Ioannis","Efthimiou"
